dataset,instancia,n,R,archivo
peor-caso-BT-O,BT-PO-O-1,1,50,instancias/peor-caso-BT-O/BT-PC-O-1.txt
peor-caso-BT-O,BT-PO-O-2,2,50,instancias/peor-caso-BT-O/BT-PC-O-2.txt
peor-caso-BT-O,BT-PO-O-3,3,50,instancias/peor-caso-BT-O/BT-PC-O-3.txt
peor-caso-BT-O,BT-PO-O-4,4,50,instancias/peor-caso-BT-O/BT-PC-O-4.txt
peor-caso-BT-O,BT-PO-O-5,5,50,instancias/peor-caso-BT-O/BT-PC-O-5.txt
peor-caso-BT-O,BT-PO-O-6,6,50,instancias/peor-caso-BT-O/BT-PC-O-6.txt
peor-caso-BT-O,BT-PO-O-7,7,50,instancias/peor-caso-BT-O/BT-PC-O-7.txt
peor-caso-BT-O,BT-PO-O-8,8,50,instancias/peor-caso-BT-O/BT-PC-O-8.txt
peor-caso-BT-O,BT-PO-O-9,9,50,instancias/peor-caso-BT-O/BT-PC-O-9.txt
peor-caso-BT-O,BT-PO-O-10,10,50,instancias/peor-caso-BT-O/BT-PC-O-10.txt
peor-caso-BT-O,BT-PO-O-11,11,50,instancias/peor-caso-BT-O/BT-PC-O-11.txt
peor-caso-BT-O,BT-PO-O-12,12,50,instancias/peor-caso-BT-O/BT-PC-O-12.txt
peor-caso-BT-O,BT-PO-O-13,13,50,instancias/peor-caso-BT-O/BT-PC-O-13.txt
peor-caso-BT-O,BT-PO-O-14,14,50,instancias/peor-caso-BT-O/BT-PC-O-14.txt
peor-caso-BT-O,BT-PO-O-15,15,50,instancias/peor-caso-BT-O/BT-PC-O-15.txt
peor-caso-BT-O,BT-PO-O-16,16,50,instancias/peor-caso-BT-O/BT-PC-O-16.txt
peor-caso-BT-O,BT-PO-O-17,17,50,instancias/peor-caso-BT-O/BT-PC-O-17.txt
peor-caso-BT-O,BT-PO-O-18,18,50,instancias/peor-caso-BT-O/BT-PC-O-18.txt
peor-caso-BT-O,BT-PO-O-19,19,50,instancias/peor-caso-BT-O/BT-PC-O-19.txt
peor-caso-BT-O,BT-PO-O-20,20,50,instancias/peor-caso-BT-O/BT-PC-O-20.txt
peor-caso-BT-O,BT-PO-O-21,21,50,instancias/peor-caso-BT-O/BT-PC-O-21.txt
peor-caso-BT-O,BT-PO-O-22,22,50,instancias/peor-caso-BT-O/BT-PC-O-22.txt
peor-caso-BT-O,BT-PO-O-23,23,50,instancias/peor-caso-BT-O/BT-PC-O-23.txt
peor-caso-BT-O,BT-PO-O-24,24,50,instancias/peor-caso-BT-O/BT-PC-O-24.txt
peor-caso-BT-O,BT-PO-O-25,25,50,instancias/peor-caso-BT-O/BT-PC-O-25.txt
peor-caso-BT-O,BT-PO-O-26,26,50,instancias/peor-caso-BT-O/BT-PC-O-26.txt
peor-caso-BT-O,BT-PO-O-27,27,50,instancias/peor-caso-BT-O/BT-PC-O-27.txt
peor-caso-BT-O,BT-PO-O-28,28,50,instancias/peor-caso-BT-O/BT-PC-O-28.txt
peor-caso-BT-O,BT-PO-O-29,29,50,instancias/peor-caso-BT-O/BT-PC-O-29.txt
peor-caso-BT-O,BT-PO-O-30,30,50,instancias/peor-caso-BT-O/BT-PC-O-30.txt
